primary_key,symbol,date,sentiment_score,stock_rec,total_rec
Chevron_2023-09-26,CVX,2023-09-26,positive,Sell,Hold
Chevron_2023-09-27,CVX,2023-09-27,positive,Sell,Hold
Chevron_2023-09-28,CVX,2023-09-28,positive,Sell,Hold
Chevron_2023-09-29,CVX,2023-09-29,positive,Sell,Hold
Disney_2023-09-01,DIS,2023-09-01,neutral,Sell,Sell
Disney_2023-09-05,DIS,2023-09-05,neutral,Sell,Sell
Disney_2023-09-06,DIS,2023-09-06,positive,Sell,Hold
Disney_2023-09-07,DIS,2023-09-07,positive,Sell,Hold
Disney_2023-09-08,DIS,2023-09-08,positive,Sell,Hold
Disney_2023-09-11,DIS,2023-09-11,positive,Buy,Strong Buy
Disney_2023-09-12,DIS,2023-09-12,positive,Buy,Strong Buy
Disney_2023-09-13,DIS,2023-09-13,positive,Sell,Hold
Disney_2023-09-14,DIS,2023-09-14,positive,Buy,Strong Buy
Disney_2023-09-15,DIS,2023-09-15,positive,Buy,Strong Buy
Disney_2023-09-18,DIS,2023-09-18,positive,Sell,Hold
Disney_2023-09-19,DIS,2023-09-19,positive,Sell,Hold
Disney_2023-09-20,DIS,2023-09-20,positive,Sell,Hold
Disney_2023-09-21,DIS,2023-09-21,positive,Sell,Hold
Disney_2023-09-22,DIS,2023-09-22,positive,Buy,Strong Buy
Disney_2023-09-25,DIS,2023-09-25,positive,Sell,Hold
Disney_2023-09-26,DIS,2023-09-26,positive,Buy,Strong Buy
Disney_2023-09-27,DIS,2023-09-27,positive,Sell,Hold
Disney_2023-09-28,DIS,2023-09-28,positive,Sell,Hold
Disney_2023-09-29,DIS,2023-09-29,positive,Sell,Hold
Dow Chemical_2023-09-01,DOW,2023-09-01,positive,Buy,Strong Buy
Dow Chemical_2023-09-05,DOW,2023-09-05,positive,Sell,Hold
Dow Chemical_2023-09-06,DOW,2023-09-06,neutral,Sell,Sell
Dow Chemical_2023-09-07,DOW,2023-09-07,neutral,Sell,Sell
Dow Chemical_2023-09-08,DOW,2023-09-08,neutral,Buy,Buy
Dow Chemical_2023-09-11,DOW,2023-09-11,positive,Sell,Hold
Dow Chemical_2023-09-12,DOW,2023-09-12,positive,Sell,Hold
Dow Chemical_2023-09-13,DOW,2023-09-13,positive,Buy,Strong Buy
Dow Chemical_2023-09-14,DOW,2023-09-14,positive,Sell,Hold
Dow Chemical_2023-09-15,DOW,2023-09-15,neutral,Sell,Sell
Dow Chemical_2023-09-18,DOW,2023-09-18,positive,Sell,Hold
Dow Chemical_2023-09-19,DOW,2023-09-19,neutral,Buy,Buy
Dow Chemical_2023-09-20,DOW,2023-09-20,positive,Buy,Strong Buy
Dow Chemical_2023-09-21,DOW,2023-09-21,neutral,Buy,Buy
Dow Chemical_2023-09-22,DOW,2023-09-22,neutral,Sell,Sell
Dow Chemical_2023-09-25,DOW,2023-09-25,neutral,Sell,Sell
Dow Chemical_2023-09-26,DOW,2023-09-26,neutral,Sell,Sell
Dow Chemical_2023-09-27,DOW,2023-09-27,negative,Sell,Strong Sell
Dow Chemical_2023-09-28,DOW,2023-09-28,neutral,Sell,Sell
Dow Chemical_2023-09-29,DOW,2023-09-29,negative,Buy,Hold
Goldman Sachs_2023-09-01,GS,2023-09-01,positive,Sell,Hold
Goldman Sachs_2023-09-05,GS,2023-09-05,neutral,Sell,Sell
Goldman Sachs_2023-09-06,GS,2023-09-06,positive,Buy,Strong Buy
Goldman Sachs_2023-09-07,GS,2023-09-07,positive,Sell,Hold
Goldman Sachs_2023-09-08,GS,2023-09-08,neutral,Sell,Sell
Goldman Sachs_2023-09-11,GS,2023-09-11,positive,Sell,Hold
Goldman Sachs_2023-09-12,GS,2023-09-12,positive,Buy,Strong Buy
Goldman Sachs_2023-09-13,GS,2023-09-13,positive,Buy,Strong Buy
Goldman Sachs_2023-09-14,GS,2023-09-14,positive,Buy,Strong Buy
Goldman Sachs_2023-09-15,GS,2023-09-15,positive,Sell,Hold
Goldman Sachs_2023-09-18,GS,2023-09-18,positive,Sell,Hold
Goldman Sachs_2023-09-19,GS,2023-09-19,positive,Sell,Hold
Goldman Sachs_2023-09-20,GS,2023-09-20,positive,Buy,Strong Buy
Goldman Sachs_2023-09-21,GS,2023-09-21,neutral,Buy,Buy
Goldman Sachs_2023-09-22,GS,2023-09-22,neutral,Sell,Sell
Goldman Sachs_2023-09-25,GS,2023-09-25,neutral,Sell,Sell
Goldman Sachs_2023-09-26,GS,2023-09-26,neutral,Buy,Buy
Goldman Sachs_2023-09-27,GS,2023-09-27,positive,Sell,Hold
Goldman Sachs_2023-09-28,GS,2023-09-28,positive,Sell,Hold
Goldman Sachs_2023-09-29,GS,2023-09-29,neutral,Buy,Buy
Home Depot_2023-09-01,HD,2023-09-01,neutral,Buy,Buy
Home Depot_2023-09-05,HD,2023-09-05,neutral,Sell,Sell
Home Depot_2023-09-06,HD,2023-09-06,neutral,Buy,Buy
Home Depot_2023-09-07,HD,2023-09-07,positive,Sell,Hold
Home Depot_2023-09-08,HD,2023-09-08,neutral,Buy,Buy
Home Depot_2023-09-11,HD,2023-09-11,positive,Sell,Hold
Home Depot_2023-09-12,HD,2023-09-12,positive,Sell,Hold
Home Depot_2023-09-13,HD,2023-09-13,positive,Sell,Hold
Home Depot_2023-09-14,HD,2023-09-14,neutral,Sell,Sell
Home Depot_2023-09-15,HD,2023-09-15,positive,Sell,Hold
Home Depot_2023-09-18,HD,2023-09-18,positive,Buy,Strong Buy
Home Depot_2023-09-19,HD,2023-09-19,neutral,Sell,Sell
Home Depot_2023-09-20,HD,2023-09-20,neutral,Buy,Buy
Home Depot_2023-09-21,HD,2023-09-21,positive,Buy,Strong Buy
Home Depot_2023-09-22,HD,2023-09-22,neutral,Sell,Sell
Home Depot_2023-09-25,HD,2023-09-25,neutral,Sell,Sell
Home Depot_2023-09-26,HD,2023-09-26,neutral,Sell,Sell
Home Depot_2023-09-27,HD,2023-09-27,neutral,Sell,Sell
Home Depot_2023-09-28,HD,2023-09-28,negative,Buy,Hold
Home Depot_2023-09-29,HD,2023-09-29,neutral,Sell,Sell
IBM_2023-09-01,IBM,2023-09-01,positive,Buy,Strong Buy
IBM_2023-09-05,IBM,2023-09-05,positive,Sell,Hold
IBM_2023-09-06,IBM,2023-09-06,positive,Sell,Hold
IBM_2023-09-07,IBM,2023-09-07,positive,Buy,Strong Buy
IBM_2023-09-08,IBM,2023-09-08,neutral,Sell,Sell
IBM_2023-09-11,IBM,2023-09-11,neutral,Sell,Sell
IBM_2023-09-12,IBM,2023-09-12,positive,Buy,Strong Buy
IBM_2023-09-13,IBM,2023-09-13,positive,Sell,Hold
IBM_2023-09-14,IBM,2023-09-14,neutral,Sell,Sell
IBM_2023-09-15,IBM,2023-09-15,neutral,Buy,Buy
IBM_2023-09-18,IBM,2023-09-18,neutral,Buy,Buy
IBM_2023-09-19,IBM,2023-09-19,negative,Sell,Strong Sell
IBM_2023-09-20,IBM,2023-09-20,positive,Buy,Strong Buy
IBM_2023-09-21,IBM,2023-09-21,positive,Sell,Hold
IBM_2023-09-22,IBM,2023-09-22,neutral,Buy,Buy
IBM_2023-09-25,IBM,2023-09-25,positive,Buy,Strong Buy
IBM_2023-09-26,IBM,2023-09-26,positive,Buy,Strong Buy
IBM_2023-09-27,IBM,2023-09-27,positive,Sell,Hold
IBM_2023-09-28,IBM,2023-09-28,positive,Buy,Strong Buy
IBM_2023-09-29,IBM,2023-09-29,neutral,Sell,Sell
Intel_2023-09-01,INTC,2023-09-01,positive,Buy,Strong Buy
Intel_2023-09-05,INTC,2023-09-05,positive,Sell,Hold
Intel_2023-09-06,INTC,2023-09-06,positive,Sell,Hold
Intel_2023-09-07,INTC,2023-09-07,neutral,Buy,Buy
Intel_2023-09-08,INTC,2023-09-08,positive,Sell,Hold
Intel_2023-09-11,INTC,2023-09-11,positive,Buy,Strong Buy
Intel_2023-09-12,INTC,2023-09-12,positive,Sell,Hold
Intel_2023-09-13,INTC,2023-09-13,positive,Buy,Strong Buy
Intel_2023-09-14,INTC,2023-09-14,positive,Buy,Strong Buy
Intel_2023-09-15,INTC,2023-09-15,positive,Buy,Strong Buy
Intel_2023-09-18,INTC,2023-09-18,positive,Sell,Hold
Intel_2023-09-19,INTC,2023-09-19,positive,Buy,Strong Buy
Intel_2023-09-20,INTC,2023-09-20,positive,Buy,Strong Buy
Intel_2023-09-21,INTC,2023-09-21,positive,Sell,Hold
Intel_2023-09-22,INTC,2023-09-22,positive,Sell,Hold
Intel_2023-09-25,INTC,2023-09-25,neutral,Sell,Sell
Intel_2023-09-26,INTC,2023-09-26,positive,Sell,Hold
Intel_2023-09-27,INTC,2023-09-27,neutral,Sell,Sell
Intel_2023-09-28,INTC,2023-09-28,positive,Buy,Strong Buy
Intel_2023-09-29,INTC,2023-09-29,positive,Buy,Strong Buy
Johnson & Johnson_2023-09-01,JNJ,2023-09-01,positive,Sell,Hold
Johnson & Johnson_2023-09-05,JNJ,2023-09-05,positive,Sell,Hold
Johnson & Johnson_2023-09-06,JNJ,2023-09-06,neutral,Sell,Sell
Johnson & Johnson_2023-09-07,JNJ,2023-09-07,positive,Sell,Hold
Johnson & Johnson_2023-09-08,JNJ,2023-09-08,positive,Buy,Strong Buy
Johnson & Johnson_2023-09-11,JNJ,2023-09-11,positive,Buy,Strong Buy
Johnson & Johnson_2023-09-12,JNJ,2023-09-12,positive,Sell,Hold
Johnson & Johnson_2023-09-13,JNJ,2023-09-13,positive,Sell,Hold
Johnson & Johnson_2023-09-14,JNJ,2023-09-14,positive,Sell,Hold
Johnson & Johnson_2023-09-15,JNJ,2023-09-15,positive,Sell,Hold
Johnson & Johnson_2023-09-18,JNJ,2023-09-18,positive,Sell,Hold
Johnson & Johnson_2023-09-19,JNJ,2023-09-19,neutral,Sell,Sell
Johnson & Johnson_2023-09-20,JNJ,2023-09-20,positive,Buy,Strong Buy
Johnson & Johnson_2023-09-21,JNJ,2023-09-21,neutral,Sell,Sell
Johnson & Johnson_2023-09-22,JNJ,2023-09-22,positive,Buy,Strong Buy
Johnson & Johnson_2023-09-25,JNJ,2023-09-25,positive,Sell,Hold
Johnson & Johnson_2023-09-26,JNJ,2023-09-26,neutral,Buy,Buy
Johnson & Johnson_2023-09-27,JNJ,2023-09-27,positive,Buy,Strong Buy
Johnson & Johnson_2023-09-28,JNJ,2023-09-28,positive,Sell,Hold
Johnson & Johnson_2023-09-29,JNJ,2023-09-29,positive,Buy,Strong Buy
JPMorgan Chase_2023-09-01,JPM,2023-09-01,positive,Buy,Strong Buy
JPMorgan Chase_2023-09-05,JPM,2023-09-05,positive,Sell,Hold
JPMorgan Chase_2023-09-06,JPM,2023-09-06,neutral,Sell,Sell
JPMorgan Chase_2023-09-07,JPM,2023-09-07,positive,Sell,Hold
JPMorgan Chase_2023-09-08,JPM,2023-09-08,positive,Sell,Hold
JPMorgan Chase_2023-09-11,JPM,2023-09-11,positive,Buy,Strong Buy
JPMorgan Chase_2023-09-12,JPM,2023-09-12,positive,Buy,Strong Buy
JPMorgan Chase_2023-09-13,JPM,2023-09-13,positive,Sell,Hold
JPMorgan Chase_2023-09-14,JPM,2023-09-14,positive,Buy,Strong Buy
JPMorgan Chase_2023-09-15,JPM,2023-09-15,positive,Sell,Hold
JPMorgan Chase_2023-09-18,JPM,2023-09-18,positive,Sell,Hold
JPMorgan Chase_2023-09-19,JPM,2023-09-19,positive,Sell,Hold
JPMorgan Chase_2023-09-20,JPM,2023-09-20,positive,Sell,Hold
JPMorgan Chase_2023-09-21,JPM,2023-09-21,neutral,Buy,Buy
JPMorgan Chase_2023-09-22,JPM,2023-09-22,neutral,Buy,Buy
JPMorgan Chase_2023-09-25,JPM,2023-09-25,positive,Sell,Hold
JPMorgan Chase_2023-09-26,JPM,2023-09-26,positive,Buy,Strong Buy
JPMorgan Chase_2023-09-27,JPM,2023-09-27,positive,Sell,Hold
JPMorgan Chase_2023-09-28,JPM,2023-09-28,positive,Sell,Hold
JPMorgan Chase_2023-09-29,JPM,2023-09-29,positive,Sell,Hold
Coca-Cola_2023-09-01,KO,2023-09-01,positive,Buy,Strong Buy
Coca-Cola_2023-09-05,KO,2023-09-05,positive,Buy,Strong Buy
Coca-Cola_2023-09-06,KO,2023-09-06,positive,Sell,Hold
Coca-Cola_2023-09-07,KO,2023-09-07,positive,Buy,Strong Buy
Coca-Cola_2023-09-08,KO,2023-09-08,positive,Sell,Hold
Coca-Cola_2023-09-11,KO,2023-09-11,positive,Sell,Hold
Coca-Cola_2023-09-12,KO,2023-09-12,positive,Sell,Hold
Coca-Cola_2023-09-13,KO,2023-09-13,positive,Buy,Strong Buy
Coca-Cola_2023-09-14,KO,2023-09-14,positive,Buy,Strong Buy
Coca-Cola_2023-09-15,KO,2023-09-15,positive,Sell,Hold
Coca-Cola_2023-09-18,KO,2023-09-18,positive,Sell,Hold
Coca-Cola_2023-09-19,KO,2023-09-19,positive,Sell,Hold
Coca-Cola_2023-09-20,KO,2023-09-20,positive,Buy,Strong Buy
Coca-Cola_2023-09-21,KO,2023-09-21,positive,Sell,Hold
Coca-Cola_2023-09-22,KO,2023-09-22,positive,Sell,Hold
Coca-Cola_2023-09-25,KO,2023-09-25,neutral,Buy,Buy
Coca-Cola_2023-09-26,KO,2023-09-26,positive,Buy,Strong Buy
Coca-Cola_2023-09-27,KO,2023-09-27,positive,Buy,Strong Buy
Coca-Cola_2023-09-28,KO,2023-09-28,positive,Sell,Hold
Coca-Cola_2023-09-29,KO,2023-09-29,positive,Sell,Hold
McDonalds_2023-09-01,MCD,2023-09-01,positive,Sell,Hold
McDonalds_2023-09-05,MCD,2023-09-05,positive,Buy,Strong Buy
McDonalds_2023-09-06,MCD,2023-09-06,positive,Buy,Strong Buy
McDonalds_2023-09-07,MCD,2023-09-07,positive,Sell,Hold
McDonalds_2023-09-08,MCD,2023-09-08,positive,Buy,Strong Buy
McDonalds_2023-09-11,MCD,2023-09-11,positive,Buy,Strong Buy
McDonalds_2023-09-12,MCD,2023-09-12,positive,Buy,Strong Buy
McDonalds_2023-09-13,MCD,2023-09-13,positive,Buy,Strong Buy
McDonalds_2023-09-14,MCD,2023-09-14,positive,Buy,Strong Buy
McDonalds_2023-09-15,MCD,2023-09-15,positive,Sell,Hold
McDonalds_2023-09-18,MCD,2023-09-18,positive,Sell,Hold
McDonalds_2023-09-19,MCD,2023-09-19,neutral,Sell,Sell
McDonalds_2023-09-20,MCD,2023-09-20,positive,Buy,Strong Buy
McDonalds_2023-09-21,MCD,2023-09-21,positive,Buy,Strong Buy
McDonalds_2023-09-22,MCD,2023-09-22,positive,Sell,Hold
McDonalds_2023-09-25,MCD,2023-09-25,positive,Buy,Strong Buy
McDonalds_2023-09-26,MCD,2023-09-26,neutral,Sell,Sell
McDonalds_2023-09-27,MCD,2023-09-27,neutral,Buy,Buy
McDonalds_2023-09-28,MCD,2023-09-28,positive,Sell,Hold
McDonalds_2023-09-29,MCD,2023-09-29,positive,Sell,Hold
3M_2023-09-01,MMM,2023-09-01,positive,Sell,Hold
3M_2023-09-05,MMM,2023-09-05,neutral,Sell,Sell
3M_2023-09-06,MMM,2023-09-06,neutral,Sell,Sell
3M_2023-09-07,MMM,2023-09-07,positive,Buy,Strong Buy
3M_2023-09-08,MMM,2023-09-08,neutral,Sell,Sell
3M_2023-09-11,MMM,2023-09-11,positive,Sell,Hold
3M_2023-09-12,MMM,2023-09-12,positive,Sell,Hold
3M_2023-09-13,MMM,2023-09-13,neutral,Buy,Buy
3M_2023-09-14,MMM,2023-09-14,positive,Sell,Hold
3M_2023-09-15,MMM,2023-09-15,positive,Buy,Strong Buy
3M_2023-09-18,MMM,2023-09-18,positive,Sell,Hold
3M_2023-09-19,MMM,2023-09-19,neutral,Sell,Sell
3M_2023-09-20,MMM,2023-09-20,neutral,Buy,Buy
3M_2023-09-21,MMM,2023-09-21,neutral,Buy,Buy
3M_2023-09-22,MMM,2023-09-22,positive,Sell,Hold
3M_2023-09-25,MMM,2023-09-25,positive,Buy,Strong Buy
3M_2023-09-26,MMM,2023-09-26,positive,Sell,Hold
3M_2023-09-27,MMM,2023-09-27,positive,Sell,Hold
3M_2023-09-28,MMM,2023-09-28,neutral,Sell,Sell
3M_2023-09-29,MMM,2023-09-29,neutral,Buy,Buy
Merck_2023-09-01,MRK,2023-09-01,neutral,Sell,Sell
Merck_2023-09-05,MRK,2023-09-05,positive,Buy,Strong Buy
Merck_2023-09-06,MRK,2023-09-06,positive,Buy,Strong Buy
Merck_2023-09-07,MRK,2023-09-07,neutral,Sell,Sell
Merck_2023-09-08,MRK,2023-09-08,positive,Sell,Hold
Merck_2023-09-11,MRK,2023-09-11,positive,Sell,Hold
Merck_2023-09-12,MRK,2023-09-12,neutral,Buy,Buy
Merck_2023-09-13,MRK,2023-09-13,positive,Sell,Hold
Merck_2023-09-14,MRK,2023-09-14,positive,Sell,Hold
Merck_2023-09-15,MRK,2023-09-15,neutral,Sell,Sell
Merck_2023-09-18,MRK,2023-09-18,positive,Sell,Hold
Merck_2023-09-19,MRK,2023-09-19,neutral,Sell,Sell
Merck_2023-09-20,MRK,2023-09-20,positive,Sell,Hold
Merck_2023-09-21,MRK,2023-09-21,positive,Buy,Strong Buy
