content:SentimentScore,,,
sentiment_score_company,sentiment_score_date,sentiment_score_score,sentiment_score_recommendation
3M,8/14/2022,0.113402062,Buy
3M,8/15/2022,-0.285714286,Strong Sell
3M,8/16/2022,-0.1625,Strong Sell
3M,8/17/2022,-0.054945055,Sell
3M,8/18/2022,0.052083333,Buy
3M,8/19/2022,0.061728395,Buy
3M,8/20/2022,0.076086957,Buy
3M,8/21/2022,0.04950495,Hold
3M,8/22/2022,-0.147727273,Sell
3M,8/23/2022,-0.168539326,Strong Sell
3M,8/24/2022,0.102272727,Buy
3M,8/25/2022,0.06097561,Buy
3M,8/26/2022,0.042105263,Hold
3M,8/27/2022,0.22826087,Strong Buy
3M,8/28/2022,0,Hold
3M,8/29/2022,0,Hold
3M,8/30/2022,0.14893617,Buy
3M,8/31/2022,-0.154761905,Strong Sell
3M,9/1/2022,0.070707071,Buy
3M,9/2/2022,0.09,Buy
3M,9/3/2022,0.081818182,Buy
3M,9/4/2022,-0.012345679,Hold
3M,9/5/2022,0.12,Buy
3M,9/6/2022,-0.024691358,Hold
3M,9/7/2022,0.060869565,Buy
3M,9/8/2022,0.067567568,Buy
3M,9/9/2022,0.04587156,Hold
3M,9/10/2022,0.027027027,Hold
3M,9/11/2022,-0.020618557,Hold
3M,9/12/2022,-0.048543689,Hold
3M,9/13/2022,-0.102272727,Sell
3M,9/14/2022,0.10989011,Buy
3M,9/15/2022,0.12371134,Buy
3M,9/16/2022,-0.254716981,Strong Sell
3M,9/17/2022,0.053191489,Buy
3M,9/18/2022,0.197530864,Strong Buy
3M,9/19/2022,0.127906977,Buy
3M,9/20/2022,0.08490566,Buy
3M,9/21/2022,0.078651685,Buy
3M,9/22/2022,0,Hold
3M,9/23/2022,0.091743119,Buy
3M,9/24/2022,0.065217391,Buy
3M,9/25/2022,0,Hold
3M,9/26/2022,-0.010416667,Hold
3M,9/27/2022,0.112903226,Buy
3M,9/28/2022,0.056179775,Buy
3M,9/29/2022,0.021505376,Hold
3M,9/30/2022,0.011627907,Hold
3M,10/1/2022,-0.051020408,Sell
3M,10/2/2022,0.151515152,Strong Buy
3M,10/3/2022,-0.090909091,Sell
3M,10/4/2022,-0.04494382,Hold
3M,10/5/2022,0.020618557,Hold
3M,10/6/2022,-0.043956044,Hold
3M,10/7/2022,-0.073684211,Sell
3M,10/8/2022,0.156626506,Strong Buy
3M,10/9/2022,-0.051546392,Sell
3M,10/10/2022,0.025974026,Hold
3M,10/11/2022,0.011235955,Hold
3M,10/12/2022,0.066666667,Buy
